"Name,Ticker/Code,발행사,자산,전략,세부전략,지역,추적배수,거래대금(백만),시가총액(백만)"
"KODEX 미국종합채권ESG액티브(H),437080,삼성자산운용,채권,혼합,종합,미국,일반,945.477375,410366.115"
"HANARO 200,293180,엔에이치아문디자산운용,주식,시장대표,-,국내,일반,279.49236,406172.5"
"KODEX 미국머니마켓액티브,0048J0,삼성자산운용,채권,혼합,단기,국내,일반,1217.475016,404558.875"
"TIGER CD금리플러스액티브(합성),499660,미래에셋자산운용,기타,금리,-,국내,일반,11251.76454,402428.168"
"TIGER 미국S&P500(H),448290,미래에셋자산운용,주식,시장대표,-,미국,일반,1930.475319,400583"
"TIGER 27-04회사채(A+이상)액티브,480260,미래에셋자산운용,채권,회사채,단기,국내,일반,1004.800991,396238.72"
"KODEX 200액티브,494890,삼성자산운용,주식,시장대표,-,국내,일반,1456.484285,393536"
"TIGER 미국나스닥100커버드콜(합성),441680,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,1401.737672,389953.5"
"ACE 국고채10년,365780,한국투자신탁운용,채권,국공채,장기,국내,일반,1552.714085,386852.7"
"KODEX 장기종합채권(AA-이상)액티브,363570,삼성자산운용,채권,혼합,장기,국내,일반,74.32606,386349.975"
"KODEX 미국나스닥100데일리커버드콜OTM,494300,삼성자산운용,주식,주식파생,커버드콜,미국,일반,5137.958866,376809"
"KODEX 증권,102970,삼성자산운용,주식,섹터,금융,국내,일반,15667.52459,369638.75"
"PLUS 고배당주채권혼합,251600,한화자산운용,혼합자산,자산배분,주식혼합,국내,일반,3694.462127,369261"
"ACE 미국달러SOFR금리(합성),456880,한국투자신탁운용,기타,금리,-,미국,일반,1132.576167,368328"
"TIGER 미국S&P500타겟데일리커버드콜,482730,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,2762.313359,366198.75"
"SOL 미국30년국채커버드콜(합성),473330,신한자산운용,채권,채권파생,커버드콜,미국,일반,3096.054924,365683.5"
"KODEX 미국배당다우존스,489250,삼성자산운용,주식,스타일,배당,미국,일반,2963.267074,363658"
"TIGER 화장품,228790,미래에셋자산운용,주식,섹터,경기소비재,국내,일반,19758.75647,349369.2"
"KODEX ESG종합채권(A-이상)액티브,439860,삼성자산운용,채권,혼합,종합,국내,일반,50.571115,346363.54"
"HANARO 원자력iSelect,434730,엔에이치아문디자산운용,주식,테마,원자력,국내,일반,7076.837408,340798.5"
"TIGER 글로벌AI액티브,466950,미래에셋자산운용,주식,테마,로보틱스 & AI,글로벌,일반,3956.252671,339979.2"
"KODEX 골드선물(H),132030,삼성자산운용,원자재,금속,금,글로벌,일반,9111.107477,337932"
"SOL 중단기회사채(A-이상)액티브,0016X0,신한자산운용,채권,회사채,종합,국내,일반,3085.482636,334954.64"
"KODEX 2차전지산업레버리지,462330,삼성자산운용,주식,테마,2차전지(배터리),국내,2X 레버리지,18465.79568,329088.5"
"KODEX AI반도체,395160,삼성자산운용,주식,섹터,반도체,국내,일반,10461.0946,324292"
"TIGER 중장기국채,302190,미래에셋자산운용,채권,국공채,종합,국내,일반,734.374485,322841.2"
"KODEX 테슬라커버드콜채권혼합액티브,475080,삼성자산운용,주식,주식파생,커버드콜,글로벌,일반,2537.355774,322240.5"
"RISE 단기채권알파액티브,385550,케이비자산운용,채권,혼합,단기,국내,일반,111.92281,319953.92"
"PLUS 머니마켓액티브,477050,한화자산운용,채권,혼합,단기,국내,일반,1094.874525,311423.38"
"KODEX 은행,091170,삼성자산운용,주식,섹터,금융,국내,일반,4113.5176,311315.75"
"ACE 미국30년국채액티브,476760,한국투자신탁운용,채권,국공채,장기,미국,일반,9574.492713,308256"
"KIWOOM 머니마켓액티브,476450,키움투자자산운용,채권,혼합,단기,국내,일반,496.919535,307671.06"
"HANARO Fn K-반도체,395270,엔에이치아문디자산운용,주식,섹터,반도체,국내,일반,22135.63701,307424"
"ACE 베트남VN30(합성),245710,한국투자신탁운용,주식,시장대표,-,베트남,일반,2351.372496,305250"
"RISE 비메모리반도체액티브,388420,케이비자산운용,주식,섹터,반도체,국내,일반,4500.805715,304867.8"
"TIGER 200 중공업,139230,미래에셋자산운용,주식,섹터,산업재,국내,일반,12369.75748,302334"
"KODEX TDF2050액티브,434060,삼성자산운용,혼합자산,자산배분,TDF,글로벌,일반,1840.696912,299218.75"
"KODEX 미국서학개미,473460,삼성자산운용,주식,퀀트,기타,미국,일반,5122.211088,296375"
"TIGER 일본니케이225,241180,미래에셋자산운용,주식,시장대표,-,일본,일반,2467.945786,293779.5"
"TIGER 미국테크TOP10 INDXX(H),472160,미래에셋자산운용,주식,테마,빅테크,미국,일반,10614.50978,292956.75"
"TIGER 글로벌자율주행&전기차SOLACTIVE,394660,미래에셋자산운용,주식,테마,차세대모빌리티,글로벌,일반,428.991523,292707"
"SOL 미국배당미국채혼합50,490490,신한자산운용,혼합자산,자산배분,채권혼합,미국,일반,2141.890166,291879"
"TIGER 차이나테크TOP10,0047A0,미래에셋자산운용,주식,테마,빅테크,중국,일반,16232.08092,287910"
"TIGER 미국나스닥100(H),448300,미래에셋자산운용,주식,시장대표,-,미국,일반,1101.348679,287899.5"
"TIGER 반도체,091230,미래에셋자산운용,주식,섹터,반도체,국내,일반,12557.81319,286232.7"
"KODEX 단기변동금리부채권액티브,273140,삼성자산운용,채권,혼합,단기,국내,일반,222.67208,283965.72"
